Humidity %,Temp C,Temp F,HeatIndex C,HeatIndex F
24,34.1,93.38,32.51,90.52
24,34.1,93.38,32.51,90.52
24,34.2,93.38,32.64,90.75
25,34.2,93.56,32.63,90.73
25,34.2,93.56,32.76,90.97
25,34.2,93.56,32.76,90.97
25,34.2,93.56,32.76,90.97
25,34.2,93.56,32.76,90.97
24,34.2,93.56,32.76,90.97
24,34.2,93.56,32.63,90.73
25,34.2,93.56,32.63,90.73
26,34.2,93.56,32.76,90.97
27,34.2,93.56,32.9,91.22
27,34.3,93.56,33.05,91.49
28,34.4,93.74,33.18,91.72
29,34.4,93.74,33.34,92.01
30,34.4,93.92,33.83,92.89
32,34.4,93.92,34.22,93.59
34,34.4,93.92,34.64,94.36
34,34.4,93.92,34.64,94.36
34,34.4,93.92,34.64,94.36
34,34.4,93.92,34.64,94.36
33,34.4,93.92,34.43,93.97
34,34.4,93.92,34.64,94.36
34,34.4,93.92,34.64,94.36
33,34.4,93.92,34.43,93.97
35,34.5,94.1,34.87,94.77
35,34.5,94.1,34.87,94.77
36,34.6,94.28,35.27,95.48
33,34.6,94.28,34.58,94.24
34,34.6,94.28,34.95,94.91
33,34.6,94.28,34.73,94.51
35,34.6,94.28,35.19,95.33
38,34.6,94.28,35.94,96.69
